county,batch,page_type,url,external,notes,verify_status,http_status,final_url,audit_confidence,audit_reason,flag_for_review
Clay,1,homepage,https://clayelections.gov/,false,"SOE homepage via state directory — 'Clay County' in page; 'Supervisor of Elections' in page; seat 'Green Cove Springs' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, voter registration",ok,200,,confident,"[plain] county name 'Clay' in page; seat 'Green Cove Springs' in page | homepage keywords: supervisor of elections, voter registration, vote by mail, early voting | title=""Clay County Supervisor of Elections""",
Clay,1,elections,https://clayelections.gov/event_type/elections/,false,"found via link ""Upcoming Elections"" score=45",ok,200,,confident,"[plain] county name 'Clay' in page; seat 'Green Cove Springs' in page | elections keywords: upcoming election, election information, election | title=""Elections Archives - Clay County Supervisor of Elections""",
Clay,1,polling,https://clayelections.gov/Election-Information/Precinct-Finder/,false,"found via ""Where Do I Vote?"" score=20",ok,200,,confident,"[plain] county name 'Clay' in page; seat 'Green Cove Springs' in page | polling keywords: precinct finder, where to vote | title=""Precinct Finder - Clay County Supervisor of Elections""",
Clay,1,early_voting,https://clayelections.gov/election-information/early-voting-sites/,false,"found via ""Early Voting Sites"" score=27",ok,200,,confident,"[plain] county name 'Clay' in page; seat 'Green Cove Springs' in page | early_voting keywords: early voting | title=""Early Voting Sites - Clay County Supervisor of Elections""",
Clay,1,results,https://clayelections.gov/results/,false,"found via ""View Election Results"" score=22",ok,200,,confident,"[plain] county name 'Clay' in page; seat 'Green Cove Springs' in page | results keywords: election result, results | title=""Results - Clay County Supervisor of Elections""",
Collier,1,homepage,https://www.colliervotes.gov,false,"SOE homepage via state directory — 'Collier County' in page; 'Supervisor of Elections' in page; seat 'Naples' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",ok,200,,confident,"[plain] county name 'Collier' in page; seat 'Naples' in page | homepage keywords: supervisor of elections, voter registration, vote by mail, early voting | title=""Collier County Elections, FL | Official Website""",
Collier,1,elections,https://www.colliervotes.gov/308/Upcoming-Elections,false,"found via link ""Upcoming Elections"" score=45",ok,200,,confident,"[plain] county name 'Collier' in page; seat 'Naples' in page | elections keywords: upcoming election, election date, election | title=""Upcoming Elections | Collier County Elections, FL""",
Collier,1,polling,https://www.colliervotes.gov/165/Find-My-Precinct,false,"found via ""Find My Precinct"" score=18",ok,200,,confident,"[plain] county name 'Collier' in page; seat 'Naples' in page | polling keywords: polling place, polling location, precinct finder, polling | title=""Find My Precinct | Collier County Elections, FL""",
Collier,1,early_voting,https://www.colliervotes.gov/202/Vote-Early,false,"found via ""Find An Early Voting Location"" score=32",ok,200,,confident,"[plain] county name 'Collier' in page; seat 'Naples' in page | early_voting keywords: early voting, vote early | title=""Vote Early | Collier County Elections, FL""",
Collier,1,results,,false,GAP: no distinct page found (likely folded into elections page),gap,,,gap,GAP: no distinct page found (likely folded into elections page),
Columbia,1,homepage,https://www.votecolumbiafl.gov,false,"SOE homepage via state directory — 'Columbia County' in page; 'Supervisor of Elections' in page; seat 'Lake City' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",ok,200,,confident,"[plain] county name 'Columbia' in page; seat 'Lake City' in page | homepage keywords: supervisor of elections, voter registration, vote by mail, early voting | title=""Columbia County Supervisor of Elections, FL""",
Columbia,1,elections,https://www.votecolumbiafl.gov/election_information/upcoming_elections.php,false,"found via link ""Upcoming Elections"" score=46",ok,200,,confident,"[plain] county name 'Columbia' in page; seat 'Lake City' in page | elections keywords: upcoming election, election information, election | title=""Columbia County Supervisor of Elections, FL""",
Columbia,1,polling,https://www.votecolumbiafl.gov/voter_information/precincts_and_maps.php,false,verified: 'Precincts and Maps' is Columbia's standing polling page (scored weakly only because the link text is terse),ok,200,,confident,"[plain] county name 'Columbia' in page; seat 'Lake City' in page | polling keywords: polling place, polling | title=""Columbia County Supervisor of Elections, FL""",
Columbia,1,early_voting,https://www.votecolumbiafl.gov/voter_information/early_voting.php,false,"found via ""Early Voting"" score=12",ok,200,,confident,"[plain] county name 'Columbia' in page; seat 'Lake City' in page | early_voting keywords: early voting, vote early | title=""Columbia County Supervisor of Elections, FL""",
Columbia,1,results,https://www.votecolumbiafl.gov/election_information/election_results.php,false,"found via ""Election Results"" score=22",ok,200,,confident,"[plain] county name 'Columbia' in page; seat 'Lake City' in page | results keywords: election result, results | title=""Columbia County Supervisor of Elections, FL""",
DeSoto,1,homepage,https://votedesotofl.gov/,false,"SOE homepage via state directory — 'DeSoto County' in page; 'Supervisor of Elections' in page; seat 'Arcadia' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",ok,200,,confident,"[plain] county name 'DeSoto' in page; seat 'Arcadia' in page | homepage keywords: supervisor of elections, vote by mail, early voting | title=""DeSoto, FL – DeSoto County elections website.""",
DeSoto,1,elections,https://votedesotofl.gov/election-information/election-dates/,false,"found via link ""Election Dates"" score=26",ok,200,,confident,"[plain] county name 'DeSoto' in page; seat 'Arcadia' in page | elections keywords: election information, election date, sample ballot, election | title=""Election Dates – DeSoto, FL""",
DeSoto,1,polling,https://votedesotofl.gov/voter-information/precinct-finder/,false,"found via ""Precinct Finder"" score=18",ok,200,,confident,"[plain] county name 'DeSoto' in page; seat 'Arcadia' in page | polling keywords: polling place, precinct finder, polling | title=""Precinct Finder – DeSoto, FL""",
DeSoto,1,early_voting,https://votedesotofl.gov/voter-information/how-to-vote/early-voting/,false,"found via ""Early Voting"" score=17",ok,200,,confident,"[plain] county name 'DeSoto' in page; seat 'Arcadia' in page | early_voting keywords: early voting | title=""Early Voting – DeSoto, FL""",
DeSoto,1,results,https://votedesotofl.gov/election-information/election-archives/,false,"found via ""Past Election Results"" score=18",ok,200,,confident,"[plain] county name 'DeSoto' in page; seat 'Arcadia' in page | results keywords: election result, results | title=""Past Election Results – DeSoto, FL""",
Dixie,2,homepage,https://dixievotes.gov/,false,"SOE homepage via state directory — 'Dixie County' in page; 'Supervisor of Elections' in page; seat 'Cross City' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote-by-mail, voter registration",ok,200,,confident,"[plain] county name 'Dixie' in page; seat 'Cross City' in page | homepage keywords: supervisor of elections, voter registration, early voting, elections office | title=""Dixie County Supervisor of Elections – Darbi Chaires""",
Dixie,2,elections,https://dixievotes.gov/election-information/,false,"found via link ""Election Information"" score=21",ok,200,,confident,"[plain] county name 'Dixie' in page; seat 'Cross City' in page | elections keywords: election information, election date, sample ballot, election | title=""Election Information – Dixie County Supervisor of Elections""",
Dixie,2,polling,https://dixievotes.gov/voter-resources/polling-places/,false,"found via ""Polling Places"" score=22",ok,200,,confident,"[plain] county name 'Dixie' in page; seat 'Cross City' in page | polling keywords: polling place, precinct finder, polling | title=""Polling Places – Dixie County Supervisor of Elections""",
Dixie,2,early_voting,https://dixievotes.gov/election-information/early-voting/,false,"found via ""Early Voting"" score=12",ok,200,,confident,"[plain] county name 'Dixie' in page; seat 'Cross City' in page | early_voting keywords: early voting | title=""Early Voting – Dixie County Supervisor of Elections""",
Dixie,2,results,https://dixievotes.gov/records-data-and-maps/election-results-and-report/,false,"found via ""Election Results and Report"" score=22",ok,200,,confident,"[plain] county name 'Dixie' in page; seat 'Cross City' in page | results keywords: election result, election night reporting, canvass, election night | title=""Election Results and Report – Dixie County Supervisor of Elections""",
Duval,2,homepage,https://www.duvalelections.gov,false,SOE homepage from the Florida DOS SOE directory; manually confirmed as Duval County's Supervisor of Elections site (flagged only because the phrase 'Supervisor of Elections' appears in the site logo rather than in body text),ok,200,,confident,"[plain] county name 'Duval' in page; seat 'Jacksonville' in page | homepage keywords: early voting | title=""Duval County Elections, FL Official Website | Official Website""",
Duval,2,elections,https://www.duvalelections.gov/27/Voter-Information,false,"found via link ""Voter Information"" score=23",ok,200,,confident,"[plain] county name 'Duval' in page; seat 'Jacksonville' in page | elections keywords: election information, election date, sample ballot, election | title=""Voter Information | Duval County Elections, FL Official Website""",
Duval,2,polling,https://www.duvalelections.gov/204/Polling-Location-Finder,false,"found via ""Precinct Finder"" score=29",ok,200,,confident,"[plain] county name 'Duval' in page; seat 'Jacksonville' in page | polling keywords: polling place, polling location, precinct finder, where do i vote | title=""Polling Location Finder | Duval County Elections, FL Official Website""",
Duval,2,early_voting,https://www.duvalelections.gov/236/Early-Voting,false,"found via ""Early Voting"" score=12",ok,200,,confident,"[plain] county name 'Duval' in page; seat 'Jacksonville' in page | early_voting keywords: early voting | title=""Early Voting | Duval County Elections, FL Official Website""",
Duval,2,results,https://www.duvalelections.gov/262/Data-Maps-Past-Election-Results,false,"found via ""Data/ Maps/ Past Election Results"" score=18",ok,200,,confident,"[plain] county name 'Duval' in page; seat 'Jacksonville' in page | results keywords: election result, results | title=""Data/ Maps/ Past Election Results | Duval County Elections, FL Officia""",
Escambia,1,homepage,https://escambiavotes.gov,false,"SOE homepage via state directory — 'Escambia County' in page; 'Supervisor of Elections' in page; seat 'Pensacola' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",ok,200,,confident,"[plain] county name 'Escambia' in page; seat 'Pensacola' in page | homepage keywords: supervisor of elections, voter registration, vote by mail, early voting | title=""EscambiaVotes.gov""",
Escambia,1,elections,,false,"GAP: folded into SOE homepage — escambiavotes.gov's 'Elections' nav link points back at the homepage, and /elections/ serves the results page; capturing the homepage URL twice would double-count one page",gap,,,gap,,
Escambia,1,polling,https://escambiavotes.gov/news/2026/07/21/polling-location-changes-for-2026-(revised),false,"found via ""Polling Location Changes For 2026 (Revis"" score=22",ok,200,,confident,"[plain] county name 'Escambia' in page; seat 'Pensacola' in page | polling keywords: polling location, where do i vote, polling | title=""Polling Location Changes For 2026 (Revised)""",
Escambia,1,early_voting,https://escambiavotes.gov/early-voting-locations,false,"found via ""Early Voting"" score=19",ok,200,,confident,"[plain] county name 'Escambia' in page; seat 'Pensacola' in page | early_voting keywords: early voting, early vote | title=""Early Voting Locations""",
Escambia,1,results,https://escambiavotes.gov/election-results,false,"found via ""Election Results"" score=22",ok,200,,confident,"[plain] county name 'Escambia' in page; seat 'Pensacola' in page | results keywords: election result, unofficial result, results | title=""Election Results""",
Flagler,1,homepage,https://www.flaglerelections.gov/Home,false,"SOE homepage via state directory — 'Flagler County' in page; 'Supervisor of Elections' in page; seat 'Bunnell' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",ok,200,,confident,"[plain] county name 'Flagler' in page; seat 'Bunnell' in page | homepage keywords: supervisor of elections, voter registration, vote by mail, early voting | title=""Home | Flagler County Elections Office""",
Flagler,1,elections,https://www.flaglerelections.gov/Elections/Upcoming-Elections-in-Flagler-County,false,"found via link ""Upcoming Elections in Flagler County"" score=35",ok,200,,confident,"[plain] county name 'Flagler' in page; seat 'Bunnell' in page | elections keywords: upcoming election, election | title=""Upcoming Elections in Flagler County | Flagler County Elections Office""",
Flagler,1,polling,https://www.flaglerelections.gov/My-Voter-Info/Find-Your-Precinct,false,"found via ""Find My Precinct"" score=18",ok,200,,confident,"[plain] county name 'Flagler' in page; seat 'Bunnell' in page | polling keywords: precinct finder | title=""Find Your Precinct | Flagler County Elections Office""",
Flagler,1,early_voting,https://www.flaglerelections.gov/Elections/How-to-Vote/Early-Voting,false,"found via ""Early Voting Vote early in the Primary E"" score=23",ok,200,,confident,"[plain] county name 'Flagler' in page; seat 'Bunnell' in page | early_voting keywords: early voting, vote early | title=""Early Voting | Flagler County Elections Office""",
Flagler,1,results,https://www.flaglerelections.gov/Elections/Election-Results,false,"found via ""Election Results"" score=22",ok,200,,confident,"[plain] county name 'Flagler' in page; seat 'Bunnell' in page | results keywords: election result, canvass, results | title=""Election Results | Flagler County Elections Office""",
Franklin,1,homepage,https://www.votefranklinfl.gov,false,"SOE homepage via state directory — 'Franklin County' in page; 'Supervisor of Elections' in page; seat 'Apalachicola' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, early voting",ok,200,,confident,"[plain] county name 'Franklin' in page; seat 'Apalachicola' in page | homepage keywords: supervisor of elections, vote by mail, early voting | title=""Franklin County, FL SOE""",
Franklin,1,elections,https://www.votefranklinfl.gov/election_information/index.php,false,"found via link ""Election Information"" score=21",ok,200,,confident,"[plain] county name 'Franklin' in page; seat 'Apalachicola' in page | elections keywords: election information, election | title=""Franklin County, FL SOE""",
Franklin,1,polling,https://www.votefranklinfl.gov/voter_information/polling_places.php,false,"found via ""Polling Places"" score=22",ok,200,,confident,"[plain] county name 'Franklin' in page; seat 'Apalachicola' in page | polling keywords: polling place, polling | title=""Franklin County, FL SOE""",
Franklin,1,early_voting,,false,GAP: no distinct page found (likely folded into elections page),gap,,,gap,GAP: no distinct page found (likely folded into elections page),
Franklin,1,results,,false,GAP: no county-specific page found (best candidate was an unrelated third-party site),gap,,,gap,GAP: no county-specific page found (best candidate was an unrelated third-party site),
Gadsden,2,homepage,https://votegadsdenfl.gov/,false,"SOE homepage via state directory — 'Gadsden County' in page; 'Supervisor of Elections' in page; seat 'Quincy' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, voter registration",ok,200,,confident,"[plain] county name 'Gadsden' in page; seat 'Quincy' in page | homepage keywords: supervisor of elections, voter registration, vote by mail, early voting | title=""Gadsden County Supervisor of Elections – County government Office in Q""",
Gadsden,2,elections,https://votegadsdenfl.gov/calendar/,false,"found via link ""UPCOMING ELECTIONS"" score=33",ok,200,,confident,"[plain] county name 'Gadsden' in page; seat 'Quincy' in page | elections keywords: upcoming election, sample ballot, election | title=""Upcoming Elections – Gadsden County Supervisor of Elections""",
Gadsden,2,polling,https://votegadsdenfl.gov/election-info/precinct-information/precinct-lookup/,false,"found via ""Precinct Lookup"" score=17",ok,200,,confident,"[plain] county name 'Gadsden' in page; seat 'Quincy' in page | polling keywords: where to vote | title=""Precinct Lookup – Gadsden County Supervisor of Elections""",
Gadsden,2,early_voting,https://votegadsdenfl.gov/election-info/early-voting/,false,"found via ""Early Voting"" score=12",ok,200,,confident,"[plain] county name 'Gadsden' in page; seat 'Quincy' in page | early_voting keywords: early voting, early vote, vote early | title=""Early Voting – Gadsden County Supervisor of Elections""",
