county,what_happened,pages_changed,plain_english,categories,soe_site
Hamilton,Edited,1 of 5,"1 of 5 pages changed. It posted election results, changed early-voting information and published sample ballots or candidate lists.",Date / countdown change (7) · Results posted (2) · Early voting (2) · Sample ballot / candidates (2),https://www.hamiltonvotesfl.gov
Hardee,Edited,1 of 4,"1 of 4 pages changed. It updated registration figures, updated its party-registration breakdown and moved dates or countdowns. Figure moved: Total: 11,394 → Total: 11,411 (+17).",Voter registration numbers (2) · Date / countdown change (2) · Party / registration breakdown (2),https://hardeeflvotes.gov
Hernando,Edited,1 of 5,"1 of 5 pages changed. It posted election results, changed early-voting information and updated election-day and polling-place info.",Date / countdown change (8) · Election day / polling place (4) · Canvassing board (2) · Vote-by-mail / drop box (2) · Alert / notice banner (1) · Results posted (1) · Early voting (1),https://www.hernandovotes.gov
Highlands,Edited,5 of 5,"5 of 5 pages changed. It posted election results, updated registration figures and changed early-voting information.",Results posted (2) · Vote-by-mail / drop box (2) · Election day / polling place (2) · Early voting (2) · Canvassing board (1) · Voter registration numbers (1) · Next-election pivot (1),https://www.votehighlands.gov
Hillsborough,Edited,5 of 5,"5 of 5 pages changed. It reported turnout, changed early-voting information and updated election-day and polling-place info.",Date / countdown change (12) · Election day / polling place (8) · Vote-by-mail / drop box (6) · Early voting (5) · Alert / notice banner (2) · Canvassing board (2) · Turnout / ballots cast (2),https://www.votehillsborough.gov
Indian River,Edited,1 of 5,"1 of 5 pages changed, mostly publishing new material. No substantive category matched.",—,https://www.voteindianriver.gov
Jefferson,Edited,1 of 4,"1 of 4 pages changed. It updated registration figures, changed early-voting information and updated election-day and polling-place info.",Date / countdown change (10) · Early voting (5) · Next-election pivot (3) · Election day / polling place (3) · Vote-by-mail / drop box (2) · Alert / notice banner (2) · Voter registration numbers (1),https://jeffersonvotesfl.gov/
Lake,Edited,4 of 4,"4 of 4 pages changed. It reported turnout, updated election-day and polling-place info and updated vote-by-mail and drop-box info.",Vote-by-mail / drop box (8) · Date / countdown change (6) · Turnout / ballots cast (4) · Election day / polling place (2) · Canvassing board (2),https://www.lakevotes.gov
Lee,Edited,1 of 5,"1 of 5 pages changed. It posted election results, reported turnout and changed early-voting information.",Vote-by-mail / drop box (19) · Election day / polling place (7) · Early voting (5) · Date / countdown change (3) · Results posted (2) · Turnout / ballots cast (1) · Next-election pivot (1) · Canvassing board (1),https://www.lee.vote
Leon,Edited,5 of 5,"5 of 5 pages changed. It reported turnout, updated vote-by-mail and drop-box info and moved dates or countdowns.",Vote-by-mail / drop box (7) · Turnout / ballots cast (3) · Date / countdown change (1),https://www.leonvotes.gov
Levy,Edited,1 of 5,"1 of 5 pages changed. It posted election results, changed early-voting information and updated election-day and polling-place info.",Date / countdown change (11) · Results posted (2) · Early voting (2) · Alert / notice banner (2) · Next-election pivot (1) · Election day / polling place (1),https://www.votelevy.gov/
Madison,Edited,1 of 5,"1 of 5 pages changed. It changed early-voting information, published sample ballots or candidate lists and started pointing ahead to the November general.",Date / countdown change (5) · Early voting (2) · Sample ballot / candidates (2) · Next-election pivot (1),https://www.votemadison.com
Manatee,Edited,1 of 5,"1 of 5 pages changed, mostly publishing new material. It posted election results, reported turnout and updated election-day and polling-place info.",Election day / polling place (3) · Turnout / ballots cast (3) · Results posted (3) · Date / countdown change (2) · Alert / notice banner (1) · Vote-by-mail / drop box (1),https://www.votemanatee.gov
Marion,Edited,1 of 5,"1 of 5 pages changed. It changed early-voting information, updated vote-by-mail and drop-box info and posted canvassing-board or logic-and-accuracy notices.",Date / countdown change (8) · Canvassing board (5) · Vote-by-mail / drop box (4) · Alert / notice banner (1) · Early voting (1),https://www.votemarion.gov
Martin,Edited,2 of 5,"2 of 5 pages changed. It changed early-voting information, updated election-day and polling-place info and updated vote-by-mail and drop-box info.",Early voting (16) · Alert / notice banner (7) · Election day / polling place (4) · Canvassing board (2) · Vote-by-mail / drop box (2),https://www.martinvotes.gov
Miami-Dade,Edited,5 of 5,"5 of 5 pages changed, mostly publishing new material. It posted election results, reported turnout and changed early-voting information.",Results posted (15) · Date / countdown change (11) · Sample ballot / candidates (6) · Election day / polling place (5) · Turnout / ballots cast (5) · Early voting (2),https://www.votemiamidade.gov/elections/home.page
Nassau,Edited,1 of 5,"1 of 5 pages changed. It updated election-day and polling-place info, published sample ballots or candidate lists and updated vote-by-mail and drop-box info.",Vote-by-mail / drop box (6) · Sample ballot / candidates (2) · Election day / polling place (2) · Poll worker / staffing (2),https://www.votenassaufl.gov
Okaloosa,Edited,1 of 5,"1 of 5 pages changed. It changed early-voting information, updated election-day and polling-place info and published sample ballots or candidate lists.",Date / countdown change (7) · Alert / notice banner (4) · Election day / polling place (3) · Early voting (3) · Sample ballot / candidates (1) · Canvassing board (1),https://www.voteokaloosa.gov
Okeechobee,Edited,5 of 5,"5 of 5 pages changed. It posted election results, reported turnout and updated registration figures. Figure moved: Total: 20,631 → Total: 20,669 (+38).",Party / registration breakdown (40) · Date / countdown change (27) · Voter registration numbers (21) · Early voting (5) · Election day / polling place (4) · Vote-by-mail / drop box (3) · Results posted (2) · Turnout / ballots cast (2),https://voteokeechobee.gov/
Osceola,Edited,5 of 5,"5 of 5 pages changed. It posted election results, updated election-day and polling-place info and updated vote-by-mail and drop-box info.",Results posted (30) · Vote-by-mail / drop box (2) · Provisional / cure (1) · Election day / polling place (1),https://www.voteosceola.gov/en-us/
Palm Beach,Edited,5 of 5,"5 of 5 pages changed. It reported turnout, changed early-voting information and updated election-day and polling-place info. Reported: ""2026 Primary Election - Live Election Turnout""",Date / countdown change (14) · Election day / polling place (8) · Vote-by-mail / drop box (8) · Early voting (6) · Canvassing board (4) · Turnout / ballots cast (2) · Next-election pivot (2) · Poll worker / staffing (1) · Alert / notice banner (1),https://www.votepalmbeach.gov
Pasco,Edited,5 of 5,"5 of 5 pages changed. It updated election-day and polling-place info, updated vote-by-mail and drop-box info and moved dates or countdowns.",Vote-by-mail / drop box (12) · Election day / polling place (4) · Date / countdown change (2),https://www.pascovotes.gov
Pinellas,Edited,1 of 5,"1 of 5 pages changed. It changed early-voting information, updated vote-by-mail and drop-box info and posted canvassing-board or logic-and-accuracy notices.",Date / countdown change (8) · Canvassing board (3) · Vote-by-mail / drop box (1) · Early voting (1),https://www.votepinellas.gov
Polk,Edited,2 of 3,"2 of 3 pages changed. It posted election results, changed early-voting information and updated election-day and polling-place info.",Date / countdown change (3) · Election day / polling place (3) · Results posted (2) · Early voting (2) · Vote-by-mail / drop box (2),https://www.polkelections.gov
Putnam,Edited,5 of 5,"5 of 5 pages changed. It updated election-day and polling-place info, updated vote-by-mail and drop-box info and posted canvassing-board or logic-and-accuracy notices.",Canvassing board (9) · Election day / polling place (3) · Vote-by-mail / drop box (2) · Date / countdown change (1) · Alert / notice banner (1),https://www.voteputnamflorida.gov/
Santa Rosa,Edited,1 of 5,"1 of 5 pages changed. It posted election results, updated registration figures and updated its party-registration breakdown. Figure moved: Total: 142,190 → Total: 142,514 (+324).",Canvassing board (7) · Date / countdown change (3) · Voter registration numbers (2) · Party / registration breakdown (2) · Results posted (1),https://votesantarosa.gov/
Sarasota,Edited,2 of 5,"2 of 5 pages changed. It reported turnout, published polling-place wait times and changed early-voting information. Reported: ""Access unofficial voter turnout, early voting wait times and more for the August 18 Primary Election.""",Early voting (4) · Vote-by-mail / drop box (4) · Date / countdown change (3) · Turnout / ballots cast (3) · Wait times / lines (1) · Next-election pivot (1),https://www.sarasotavotes.gov
Seminole,Edited,5 of 5,"5 of 5 pages changed. It reported turnout, updated registration figures and changed early-voting information.",Election day / polling place (18) · Alert / notice banner (8) · Vote-by-mail / drop box (8) · Date / countdown change (3) · Turnout / ballots cast (3) · Sample ballot / candidates (2) · Voter registration numbers (2) · Early voting (2) · Canvassing board (1),https://voteseminole.gov/
St. Johns,Edited,2 of 5,2 of 5 pages changed. It reported turnout and moved dates or countdowns.,Date / countdown change (4) · Turnout / ballots cast (1),https://www.votesjc.gov
St. Lucie,Edited,5 of 5,"5 of 5 pages changed. It posted election results, changed early-voting information and updated vote-by-mail and drop-box info.",Results posted (6) · Date / countdown change (4) · Navigation / menu labels (3) · Vote-by-mail / drop box (1) · Early voting (1) · Next-election pivot (1),https://www.stlucievotes.gov
Sumter,Edited,1 of 4,"1 of 4 pages changed. It posted election results, reported turnout and changed early-voting information.",Date / countdown change (3) · Results posted (1) · Turnout / ballots cast (1) · Early voting (1),https://elections.sumtercountyfl.gov
Suwannee,Edited,1 of 5,"1 of 5 pages changed. It posted election results, changed early-voting information and started pointing ahead to the November general.",Date / countdown change (5) · Results posted (3) · Early voting (2) · Next-election pivot (1),https://www.suwanneevotes.com
Taylor,Edited,1 of 5,"1 of 5 pages changed. It changed early-voting information, updated vote-by-mail and drop-box info and started pointing ahead to the November general.",Date / countdown change (9) · Early voting (4) · Alert / notice banner (4) · Vote-by-mail / drop box (2) · Next-election pivot (1),https://www.taylorelectionsfl.gov
Union,Edited,1 of 5,"1 of 5 pages changed. It posted election results, updated registration figures and changed early-voting information. Reported: ""Active Registered Voters (08/17/2026)""",Date / countdown change (3) · Results posted (2) · Voter registration numbers (2) · Early voting (1),https://unionflvotes.com/
Volusia,Edited,2 of 4,"2 of 4 pages changed. It posted election results, reported turnout and updated registration figures. Reported: ""Registered Voters as of August 8, 2026""",Election day / polling place (11) · Date / countdown change (8) · Early voting (4) · Vote-by-mail / drop box (2) · Voter registration numbers (2) · Turnout / ballots cast (1) · Results posted (1),https://www.volusiaelections.gov/
Broward,Not comparable,5 affected,"Nothing changed on the county's side. The two captures used different fetch paths: the previous run was on GitHub Actions (a datacenter IP), where a plain request to this site is challenged and the pipeline escalates to a headless browser; this run was local, where a plain request succeeds. A browser render includes JS-built content a plain fetch never sees, so the two are not comparable.",—,https://browardvotes.gov/
Clay,Not comparable,3 affected,"Nothing changed on the county's side. The two captures used different fetch paths: the previous run was on GitHub Actions (a datacenter IP), where a plain request to this site is challenged and the pipeline escalates to a headless browser; this run was local, where a plain request succeeds. A browser render includes JS-built content a plain fetch never sees, so the two are not comparable.",—,https://clayelections.gov/
Monroe,Not comparable,4 affected,"Nothing changed on the county's side. The two captures used different fetch paths: the previous run was on GitHub Actions (a datacenter IP), where a plain request to this site is challenged and the pipeline escalates to a headless browser; this run was local, where a plain request succeeds. A browser render includes JS-built content a plain fetch never sees, so the two are not comparable.",—,https://www.votemonroeflkeys.gov/
Orange,Not comparable,5 affected,"Nothing changed on the county's side. The two captures used different fetch paths: the previous run was on GitHub Actions (a datacenter IP), where a plain request to this site is challenged and the pipeline escalates to a headless browser; this run was local, where a plain request succeeds. A browser render includes JS-built content a plain fetch never sees, so the two are not comparable.",—,https://voteorangefl.gov/
Bradford,No change,0 of 5,Nothing changed on any captured page.,—,https://www.votebradfordfl.gov
Franklin,No change,0 of 3,Nothing changed on any captured page.,—,https://www.votefranklinfl.gov
Hendry,No change,0 of 5,Nothing changed on any captured page.,—,https://www.hendryelections.gov
